Name,Colecao,Estante,Grupo,Genero,Subgenero,AnoPublicacao,Origem,Escritor,GeneroEscritor,Editora,Etiqueta,Formato,Status,Meta,ClubeLivro,DataClube,TotalPagina,Capa,DataInicio,DataFim,,,,,,,,,,,,,,
Misbehaving: A Construção Da Economia Comportamental,,Livro,Não Ficção,Economia,Economia Comportamental,2019,Estados Unidos,Richard Thaler,Masculino,Intrínseca,Desejado,-,Quero Ler,,Pepa Silveira,,553,https://m.media-amazon.com/images/I/71JouYn+ghL._SL1500_.jpg,,,,,,,,,,,,,,,,
Poder E Progresso,,Livro,Não Ficção,Economia,Economia do Desenvolvimento,2024,Turquia,Daron Acemoglu,Masculino,Objetiva,Desejado,-,Quero Ler,,Pepa Silveira,,512,https://m.media-amazon.com/images/I/71kkntXKEnL._SL1500_.jpg,,,,,,,,,,,,,,,,
Deaths Of Despair And The Future Of Capitalism,,Livro,Não Ficção,Economia,Economia do Desenvolvimento,2021,Estados Unidos,Anne Case,Feminino,Princeton University Press,Desejado,-,Quero Ler,,Pepa Silveira,,336,https://m.media-amazon.com/images/I/819nQ+0VG5L._SL1500_.jpg,,,,,,,,,,,,,,,,
O Liberalismo E Seus Descontentes,,Livro,Não Ficção,Economia,Economia Política,2022,Estados Unidos,Francis Fukuyama,Masculino,Dom Quixote,Desejado,-,Quero Ler,,Pepa Silveira,,200,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ0TTJ6nvotNihBzymPfXgcNh_vS3_Wukakz9M__zsYueAT3Mzl,,,,,,,,,,,,,,,,
Esquerda E Direita,,Livro,Não Ficção,Economia,Economia Política,2012,Itália,Norberto Bobbio,Masculino,Unesp,Desejado,-,Quero Ler,,Pepa Silveira,,192,https://m.media-amazon.com/images/I/81iG2jrXFWL._SL1500_.jpg,,,,,,,,,,,,,,,,
Dominando Os Ciclos Do Mercado,,Livro,Não Ficção,Economia,Investimentos,2020,Estados Unidos,Howard Marks,Masculino,Alta Books,Desejado,-,Quero Ler,,Pepa Silveira,,336,https://m.media-amazon.com/images/I/81sllYl3qYL._SL1500_.jpg,,,,,,,,,,,,,,,,
Homens sem Mulheres,,Livro,Ficção,Romance,Contemporâneo,2014,Japão,Haruki Murakami,Masculino,Alfaguara,Tenho,EPUB,Pausado,,Verba Aeterna,09/2025,240,https://m.media-amazon.com/images/I/51jLLWMD6fL._SL1107_.jpg,09/09/2025,,,,,,,,,,,,,,,
A casa da beleza,,Livro,Ficção,,,2015,Colômbia,Melba Escobar,Feminino,Globo Livros,Em Análise,-,Em Análise,,Verba Aeterna,10/2025,220,https://m.media-amazon.com/images/I/71XFPArRBeL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Natureza Como Limite Da Economia,,Livro,Não Ficção,Economia,Economia Ambiental,2010,Brasil,Andrei Cechin,Masculino,Edsup,Tenho,Físico,Abandonado,,,,364,https://m.media-amazon.com/images/I/516erGMYT0L._SL1000_.jpg,-,-,,,,,,,,,,,,,,
Suprassuma 3: Sonhos,Suprassuma,Revista,Ficção,Horror,,2023,Brasil,,,Suma,Tenho,EPUB,Abandonado,,,,203,https://m.media-amazon.com/images/I/91FE8vmFgbL._SL1500_.jpg,17/05/2025,-,,,,,,,,,,,,,,
Sistemas de Banco de Dados,,Livro,Não Ficção,Tecnologia,Dados,,,Ramez Elmasri,Masculino,Pearson Universidades,Tenho,Físico,-,,,,1.152,https://m.media-amazon.com/images/I/91isLlXTTEL._SL1500_.jpg,,,,,,,,,,,,,,,,
Fundação #3,Fundação,Livro,Ficção,Científica,Viagem Espacial,1951,Estados Unidos,Isaac Asimov,Masculino,Aleph,Tenho,EPUB,Abandonado,2025,,,320,https://m.media-amazon.com/images/I/712vJIziMgL._SL1000_.jpg,-,-,,,,,,,,,,,,,,
Aforismo Para A Sabedoria De Vida,,Livro,Não Ficção,Filosofia,Estoica,1851,Alemanha,Arthur Schopenhauer,Masculino,L&PM,Tenho,Físico,Abandonado,,,,272,https://m.media-amazon.com/images/I/81Kuh4fxxLL._SL1500_.jpg,-,-,,,,,,,,,,,,,,
Mulheres Que Correm Com Os Lobos,,Livro,Não Ficção,Psicologia,Arquétipos Femininos,1989,Estados Unidos,Clarissa Pinkola Estés,Feminino,Rocco,Tenho,Físico,Abandonado,,,,600,https://m.media-amazon.com/images/I/7121bMhcNKL._SL1500_.jpg,-,-,,,,,,,,,,,,,,
Econometria Básica,,Livro,Não Ficção,Economia,Econometria,,,Damodar N. Gujarati ,Masculino,AMGH,Tenho,Físico,-,,,,920,https://m.media-amazon.com/images/I/71kXOSbJ0BL._SL1500_.jpg,,,,,,,,,,,,,,,,
Fundamentos de Engenharia de Dados,,Livro,Não Ficção,Tecnologia,Dados,2022,Estados Unidos,Joe Reis,Masculino,Novatec,Tenho,Físico,Lendo,,,,528,https://m.media-amazon.com/images/I/610utNg-05L._SL1000_.jpg,01/01/2025,,,,,,,,,,,,,,,
Conquistador #5,O Conquistador,Livro,Ficção,Histórica,Império Mongol,2012,Reino Unido,Conn Iggulden,Masculino,Record,Tenho,Físico,Lendo,2025,,,540,https://m.media-amazon.com/images/I/61awTvhQ4jL._SL1481_.jpg,01/08/2025,,,,,,,,,,,,,,,
A Ilha Misteriosa,Viagens Extraordinárias,Livro,Ficção,Aventura,Aventura de Sobrevivência,1875,França,Jules Verne,Masculino,Zahar,Tenho,Físico,Pausado,2025,,,550,https://m.media-amazon.com/images/I/A1O7Ie5n2tL._SL1500_.jpg,07/04/2025,-,,,,,,,,,,,,,,
Data Mesh,,Livro,Não Ficção,Tecnologia,Dados,,,Zhamak Dehghani,Feminino,Novatec,Tenho,Físico,Quero Ler,,,,416,https://m.media-amazon.com/images/I/61yi61WvlbL._SL1000_.jpg,,,,,,,,,,,,,,,,
The Data Warehouse Lifecycle Toolkit,,Livro,Não Ficção,Tecnologia,Dados,1998,Estados Unidos,Ralph Kimball,Masculino,Wiley,Não Tenho,-,Quero Ler,,,,800,https://m.media-amazon.com/images/I/818VIE7l9ML._SL1500_.jpg,,,,,,,,,,,,,,,,
The Data Warehouse ETL Toolkit,,Livro,Não Ficção,Tecnologia,Dados,2004,Estados Unidos,Ralph Kimball,Masculino,Wiley,Não Tenho,-,Quero Ler,,,,528,https://m.media-amazon.com/images/I/81ewliy0ZBL._SL1500_.jpg,,,,,,,,,,,,,,,,
The Data Warehouse Toolkit,,Livro,Não Ficção,Tecnologia,Dados,2002,Estados Unidos,Ralph Kimball,Masculino,Wiley,Não Tenho,-,Quero Ler,,,,608,https://m.media-amazon.com/images/I/81aTGZN6CLL._SL1500_.jpg,,,,,,,,,,,,,,,,
Designing Data-Intensive Applications,,Livro,Não Ficção,Tecnologia,Dados,2017,Reino Unido,Martin Kleppmann ,Masculino,O'Reilly Media,Tenho,Físico,Quero Ler,,,,662,https://m.media-amazon.com/images/I/91YfNb49PLL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Mítico Homem-mês: Ensaios Sobre Engenharia de Software,,Livro,Não Ficção,Tecnologia,Software,,,Frederick P. Brooks Jr. ,Masculino,Alta Books,Não Tenho,-,Quero Ler,,,,320,https://m.media-amazon.com/images/I/71HNGP3tJbL._SL1428_.jpg,,,,,,,,,,,,,,,,
A Natureza como Limite da Economia,,Livro,Não Ficção,Economia,Economia Ambiental,,,Andrei Cechin,Masculino,Senac São Paulo,Tenho,Físico,Quero Ler,,,,264,https://m.media-amazon.com/images/I/81PYPoPvLUL._SL1500_.jpg,,,,,,,,,,,,,,,,
Lutas E Metamorfoses De Uma Mulher,,Livro,Não Ficção,Biografia,Relato,2023,França,Édouard Louis,Masculino,Todavia,Tenho,EPUB,Lido,,,,112,https://m.media-amazon.com/images/I/9133AuBluIL._SL1500_.jpg,21/02/2025,27/02/2025,,,,,,,,,,,,,,
Quem Matou Meu Pai,,Livro,Não Ficção,Biografia,Relato,2023,França,Édouard Louis,Masculino,Todavia,Tenho,EPUB,Lido,,,,72,https://m.media-amazon.com/images/I/81QtB0uEymL._SL1500_.jpg,22/04/2025,30/04/2025,,,,,,,,,,,,,,
A Sociedade De Preservação Dos Kaiju,,Livro,Ficção,Científica,Cômica,2024,Estados Unidos,John Scalzi,Masculino,Aleph,Em Análise,-,Em Análise,,,,304,https://m.media-amazon.com/images/I/91SyaKs+K7L._SL1500_.jpg,,,,,,,,,,,,,,,,
Mona Lisa Overdrive #2,Sprawl ,Livro,Ficção,Científica,Cyberpunk,1986,Canadá,William Gibson,Masculino,Aleph,Em Análise,-,Em Análise,,,,320,https://m.media-amazon.com/images/I/91Y0teqbtZL._SL1500_.jpg,,,,,,,,,,,,,,,,
